0.000, 3.000
0.100, 3.000
0.200, 3.003
0.300, 3.006
0.400, 3.009
0.500, 3.013
0.600, 3.016
0.700, 3.019
0.800, 3.022
0.900, 3.026
1.000, 3.029
1.100, 3.032
1.200, 3.036
1.300, 3.042
1.400, 3.049
1.500, 3.056
1.600, 3.062
1.700, 3.069
1.800, 3.076
1.900, 3.083
2.000, 3.090
2.100, 3.097
2.200, 3.104
2.300, 3.112
2.400, 3.122
2.500, 3.132
2.600, 3.143
2.700, 3.154
2.800, 3.165
2.900, 3.176
3.000, 3.187
3.100, 3.198
3.200, 3.209
3.300, 3.221
3.400, 3.232
3.500, 3.247
3.600, 3.262
3.700, 3.277
3.800, 3.292
3.900, 3.307
4.000, 3.323
4.100, 3.338
4.200, 3.354
4.300, 3.370
4.400, 3.386
4.500, 3.403
4.600, 3.422
4.700, 3.442
4.800, 3.462
4.900, 3.482
5.000, 3.502
5.100, 3.523
5.200, 3.544
5.300, 3.565
5.400, 3.586
5.500, 3.608
5.600, 3.629
5.700, 3.654
5.800, 3.679
5.900, 3.705
6.000, 3.731
6.100, 3.757
6.200, 3.783
6.300, 3.810
6.400, 3.836
6.500, 3.864
6.600, 3.891
6.700, 3.919
6.800, 3.950
6.900, 3.981
7.000, 4.013
7.100, 4.045
7.200, 4.077
7.300, 4.110
7.400, 4.143
7.500, 4.176
7.600, 4.210
7.700, 4.244
7.800, 4.278
7.900, 4.316
8.000, 4.354
8.100, 4.393
8.200, 4.432
8.300, 4.471
8.400, 4.511
8.500, 4.551
8.600, 4.592
8.700, 4.633
8.800, 4.674
8.900, 4.716
9.000, 4.761
9.100, 4.807
9.200, 4.853
9.300, 4.900
9.400, 4.947
9.500, 4.995
9.600, 5.044
9.700, 5.092
9.800, 5.141
9.900, 5.191
10.000, 5.242
10.100, 5.295
10.200, 5.350
10.300, 5.405
10.400, 5.460
10.500, 5.516
10.600, 5.573
10.700, 5.630
10.800, 5.688
10.900, 5.747
11.000, 5.806
11.100, 5.865
11.200, 5.926
11.300, 5.986
11.400, 6.048
11.500, 6.110
11.600, 6.173
11.700, 6.236
11.800, 6.300
11.900, 6.365
12.000, 6.430
12.100, 6.496
12.200, 6.563
12.300, 6.631
12.400, 6.699
12.500, 6.767
12.600, 6.837
12.700, 6.907
